iter	Passed	Remaining
0	1	108
1	2	102
2	2	92
3	3	84
4	4	83
5	5	79
6	5	77
7	6	74
8	7	73
9	8	73
10	9	73
11	9	72
12	10	71
13	11	70
14	12	68
15	12	67
16	13	66
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	61
24	20	60
25	20	59
26	22	59
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	27	54
33	27	54
34	28	53
35	29	52
36	30	51
37	31	50
38	32	50
39	32	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	42	38
52	43	38
53	44	37
54	44	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	57	26
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	81	2
97	82	1
98	83	0
99	83	0
